"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1980",0.191,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1981",0.186,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1982",0.198,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1983",0.182,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1984",0.178,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1985",0.173,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1986",0.171,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1987",0.169,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1988",0.166,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1989",0.171,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1990",0.176,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1991",0.173,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1992",0.169,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1993",0.171,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1994",0.165,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1995",0.161,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1996",0.166,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1997",0.162,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1998",0.158,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1999",0.156,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2000",0.156,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2001",0.146,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2002",0.147,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2003",0.143,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2004",0.141,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2005",0.138,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2006",0.139,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2007",0.138,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2008",0.141,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2009",0.138,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2010",0.135,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2011",0.131,
