"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","RENEWABLE","TOT","KTOE","A","1980",4745.682,
"AUS","RENEWABLE","TOT","KTOE","A","1981",5063.213,
"AUS","RENEWABLE","TOT","KTOE","A","1982",5173.465,
"AUS","RENEWABLE","TOT","KTOE","A","1983",5006.549,
"AUS","RENEWABLE","TOT","KTOE","A","1984",4912.525,
"AUS","RENEWABLE","TOT","KTOE","A","1985",5165.764,
"AUS","RENEWABLE","TOT","KTOE","A","1986",4729.345,
"AUS","RENEWABLE","TOT","KTOE","A","1987",4700.803,
"AUS","RENEWABLE","TOT","KTOE","A","1988",4809.803,
"AUS","RENEWABLE","TOT","KTOE","A","1989",4981.728,
"AUS","RENEWABLE","TOT","KTOE","A","1990",5074.181,
"AUS","RENEWABLE","TOT","KTOE","A","1991",5192.787,
"AUS","RENEWABLE","TOT","KTOE","A","1992",4728.035,
"AUS","RENEWABLE","TOT","KTOE","A","1993",5482.54,
"AUS","RENEWABLE","TOT","KTOE","A","1994",5382.158,
"AUS","RENEWABLE","TOT","KTOE","A","1995",5531.404,
"AUS","RENEWABLE","TOT","KTOE","A","1996",6109.33,
"AUS","RENEWABLE","TOT","KTOE","A","1997",6399.093,
"AUS","RENEWABLE","TOT","KTOE","A","1998",6184.614,
"AUS","RENEWABLE","TOT","KTOE","A","1999",6269.25,
"AUS","RENEWABLE","TOT","KTOE","A","2000",6353.578,
"AUS","RENEWABLE","TOT","KTOE","A","2001",6478.533,
"AUS","RENEWABLE","TOT","KTOE","A","2002",6755.817,
"AUS","RENEWABLE","TOT","KTOE","A","2003",6626.507,
"AUS","RENEWABLE","TOT","KTOE","A","2004",6529.99,
"AUS","RENEWABLE","TOT","KTOE","A","2005",6462.439,
"AUS","RENEWABLE","TOT","KTOE","A","2006",6652.609,
"AUS","RENEWABLE","TOT","KTOE","A","2007",6874.774,
"AUS","RENEWABLE","TOT","KTOE","A","2008",7056.564,
"AUS","RENEWABLE","TOT","KTOE","A","2009",5582.317,
"AUS","RENEWABLE","TOT","KTOE","A","2010",6677.371,
"AUS","RENEWABLE","TOT","KTOE","A","2011",6922.845,
"AUS","RENEWABLE","TOT","KTOE","A","2012",6896.422,
"AUS","RENEWABLE","TOT","KTOE","A","2013",7663.548,
"AUS","RENEWABLE","TOT","KTOE","A","2014",7924.376,
"AUS","RENEWABLE","TOT","KTOE","A","2015",8005.364,
"AUS","RENEWABLE","TOT","KTOE","A","2016",8287.938,
"AUS","RENEWABLE","TOT","KTOE","A","2017",8907.443,
"AUT","RENEWABLE","TOT","KTOE","A","1980",3607.218,
"AUT","RENEWABLE","TOT","KTOE","A","1981",3878.6,
"AUT","RENEWABLE","TOT","KTOE","A","1982",4031.327,
"AUT","RENEWABLE","TOT","KTOE","A","1983",4026.287,
"AUT","RENEWABLE","TOT","KTOE","A","1984",4111.073,
"AUT","RENEWABLE","TOT","KTOE","A","1985",4443.522,
"AUT","RENEWABLE","TOT","KTOE","A","1986",4718.787,
"AUT","RENEWABLE","TOT","KTOE","A","1987",5277.983,
"AUT","RENEWABLE","TOT","KTOE","A","1988",6233.511,
"AUT","RENEWABLE","TOT","KTOE","A","1989",5719.814,
"AUT","RENEWABLE","TOT","KTOE","A","1990",5037.704,
"AUT","RENEWABLE","TOT","KTOE","A","1991",5247.697,
"AUT","RENEWABLE","TOT","KTOE","A","1992",5489.544,
"AUT","RENEWABLE","TOT","KTOE","A","1993",5780.459,
"AUT","RENEWABLE","TOT","KTOE","A","1994",5607.47,
"AUT","RENEWABLE","TOT","KTOE","A","1995",5890.733,
"AUT","RENEWABLE","TOT","KTOE","A","1996",5839.319,
"AUT","RENEWABLE","TOT","KTOE","A","1997",5902.818,
"AUT","RENEWABLE","TOT","KTOE","A","1998",5944.674,
"AUT","RENEWABLE","TOT","KTOE","A","1999",6644.62,
"AUT","RENEWABLE","TOT","KTOE","A","2000",6574.008,
"AUT","RENEWABLE","TOT","KTOE","A","2001",6659.505,
"AUT","RENEWABLE","TOT","KTOE","A","2002",6481.977,
"AUT","RENEWABLE","TOT","KTOE","A","2003",6016.552,
"AUT","RENEWABLE","TOT","KTOE","A","2004",6418.325,
"AUT","RENEWABLE","TOT","KTOE","A","2005",6948.173,
