TIME,INDICATOR_approvisionnement,SUBJECT_approvisionnement,MEASURE_approvisionnement,Value_approvisionnement,Flag Codes_approvisionnement,INDICATOR_production,SUBJECT_production,MEASURE_production,Value_production,Flag Codes_production,LOCATION,FREQUENCY,Value_prix,Value_renouvelable
1980,PRYENRGSUPPLY,TOT,TOE_1000USD,0.191,,OILPROD,TOT,KTOE,19471.877,,AUS,A,31.81,4745.682
1981,PRYENRGSUPPLY,TOT,TOE_1000USD,0.18600000000000003,,OILPROD,TOT,KTOE,19007.475,,AUS,A,35.88,5063.213
1982,PRYENRGSUPPLY,TOT,TOE_1000USD,0.198,,OILPROD,TOT,KTOE,18706.129,,AUS,A,35.42,5173.465
1983,PRYENRGSUPPLY,TOT,TOE_1000USD,0.182,,OILPROD,TOT,KTOE,18220.054,,AUS,A,30.88,5006.549
1984,PRYENRGSUPPLY,TOT,TOE_1000USD,0.17800000000000002,,OILPROD,TOT,KTOE,22148.898999999998,,AUS,A,29.19,4912.525
1985,PRYENRGSUPPLY,TOT,TOE_1000USD,0.17300000000000001,,OILPROD,TOT,KTOE,25468.86,,AUS,A,28.17,5165.764
1986,PRYENRGSUPPLY,TOT,TOE_1000USD,0.171,,OILPROD,TOT,KTOE,26561.558999999997,,AUS,A,14.49,4729.345
1987,PRYENRGSUPPLY,TOT,TOE_1000USD,0.16899999999999998,,OILPROD,TOT,KTOE,26399.764,,AUS,A,19.0,4700.803
1988,PRYENRGSUPPLY,TOT,TOE_1000USD,0.166,,OILPROD,TOT,KTOE,26322.923,,AUS,A,15.93,4809.803
1989,PRYENRGSUPPLY,TOT,TOE_1000USD,0.171,,OILPROD,TOT,KTOE,23679.705,,AUS,A,17.63,4981.728
1990,PRYENRGSUPPLY,TOT,TOE_1000USD,0.17600000000000002,,OILPROD,TOT,KTOE,26752.604,,AUS,A,24.21,5074.181
